plot_id,plot_info_id,plot_location,main_crop_onplot,Season,plot_area_hectare,plot_tenure,other_plot_tenure,hh_decision,plot_soil_fertility,surrounding_plot,other_surrounding_plot,intercropping_plot,push_pull_plot,plot_irrigated,fertilizer_on,insecticide_on,herbicide_on,harvested_dry,crop_suffer_FAW,perc_lost_FAW,crop_suffer_Sborer,perc_lost_Sborer,crop_suffer_Striga,perc_lost_Striga,crop_suffer_TutaAbsoluta,percent_lost_TutaAbsoluta,FAW_first_strategy-control_FAW_one,FAW_first_strategy-specify_other_strategy_FAW_one,FAW_first_strategy-effectiveness_FAW_one,FAW_second_strategy-control_FAW_two,FAW_second_strategy-specify_other_strategy_FAW_two,FAW_second_strategy-effectiveness_FAW_two,FAW_third_strategy-control_FAW_three,FAW_third_strategy-specify_other_strategy_FAW_three,FAW_third_strategy-effectiveness_FAW_three,Stemborer_first_strategy-control_Stemborer_first,Stemborer_first_strategy-specify_other_strategy_Stemborer_first,Stemborer_first_strategy-effectiveness_Stemborer_first,Stemborer_second_strategy-control_Stemborer_second,Stemborer_second_strategy-specify_other_strategy_Stemborer_second,Stemborer_second_strategy-effectiveness_Stemborer_second,Stemborer_third_strategy-control_Stemborer_third,Stemborer_third_strategy-specify_other_strategy_Stemborer_third,Stemborer_third_strategy-effectiveness_Stemborer_third,Striga_first_strategy-control_Striga_first,Striga_first_strategy-specify_other_Striga_first,Striga_first_strategy-effective_control_Striga_first,Striga_second_strategy-control_Striga_second,Striga_second_strategy-specify_other_Striga_second,Striga_second_strategy-effective_control_Striga_second,Striga_third_strategy-control_Striga_third,Striga_third_strategy-specify_other_Striga_third,Striga_third_strategy-effective_control_Striga_third,TutaAbsoluta_first_strategy_count,TutaAbsoluta_first_strategy-control_TutaAbsoluta_first,TutaAbsoluta_first_strategy-other_strategies_control_TutaAbsoluta_first,TutaAbsoluta_first_strategy-effective_strategy_control_TutaAbsoluta_first,TutaAbsoluta_second_strategy_count,TutaAbsoluta_second_strategy-control_TutaAbsoluta_second,TutaAbsoluta_second_strategy-other_strategies_control_TutaAbsoluta_second,TutaAbsoluta_second_strategy-effective_strategy_control_TutaAbsoluta_second,TutaAbsoluta_third_strategy_count,TutaAbsoluta_third_strategy-control_TutaAbsoluta_third,TutaAbsoluta_third_strategy-other_strategies_control_TutaAbsoluta_third,TutaAbsoluta_third_strategy-effective_strategy_control_TutaAbsoluta_third,constraints_for_maize_production_count,constraints_for_tomato_production_count,PARENT_KEY,KEY
202107075614,1,Bossa masa,Maize,Short_rain_season_ShortRain,0.5,Owned,,Head_,Medium,Farmeland,,Yes,Yes,No,No,No,No,400.0,Yes,20.0,Yes,10.0,No,,,,Push_pull_Technology,,High,Mechanically_Remove_The_Insect,,Low,Manure_Application,,Medium,None,,,,,,,,,,,,,,,,,,3,,,,3,,,,3,,,,3,3,uuid:53b4df1c-2384-40a9-a021-59ececd4b9cd,uuid:53b4df1c-2384-40a9-a021-59ececd4b9cd/sclamp/Season_Information[1]
202107075614,2,Bossa masa,Tomato,Short_rain_season_ShortRain,0.125,Owned,,Head_,Medium,Farmeland,,No,,No,No,Yes,No,500.0,,,,,,,Yes,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,Chemicals,,High,3,None,,,3,,,,3,3,uuid:53b4df1c-2384-40a9-a021-59ececd4b9cd,uuid:53b4df1c-2384-40a9-a021-59ececd4b9cd/sclamp/Season_Information[2]
202107071920,1,Chaka,Maize,Short_rain_season_ShortRain,0.5,Owned,,Head_,Good,Farmeland,,Yes,No,No,No,No,No,600.0,Yes,25.0,Yes,15.0,No,,,,Mechanically_Remove_The_Insect,,Low,Manure_Application,,Low,None,,,None,,,,,,,,,,,,,,,,,,3,,,,3,,,,3,,,,3,3,uuid:c5517e73-83b1-47cc-aa6a-a915c1fb18b9,uuid:c5517e73-83b1-47cc-aa6a-a915c1fb18b9/sclamp/Season_Information[1]
202107071920,2,Garo,Tomato,Long_rain_season_LongRain,0.01,Owned,,Head_,Medium,Settlement,,No,,Yes,No,No,No,12.0,,,,,,,Yes,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,Mechanically_Remove_The_Insect,,Low,3,None,,,3,,,,3,3,uuid:c5517e73-83b1-47cc-aa6a-a915c1fb18b9,uuid:c5517e73-83b1-47cc-aa6a-a915c1fb18b9/sclamp/Season_Information[2]
202107071854,1,Duga,Maize,Long_rain_season_LongRain,0.25,Owned,,Head_and_spouse_jointly,Medium,Farmeland,,Yes,No,No,No,No,No,100.0,Yes,7.0,Yes,5.0,No,,,,Mechanically_Remove_The_Insect,,Medium,None,,,,,,None,,,,,,,,,,,,,,,,,,3,,,,3,,,,3,,,,3,3,uuid:1f949352-87b0-4209-bcaa-413d53b4bc61,uuid:1f949352-87b0-4209-bcaa-413d53b4bc61/sclamp/Season_Information[1]
202107071854,2,Yegara,Maize,Long_rain_season_LongRain,0.5,Rented_shared_in,,Head_and_spouse_jointly,Medium,Farmeland,,No,No,No,No,No,No,400.0,Yes,20.0,Yes,10.0,No,,,,Mechanically_Remove_The_Insect,,Medium,Manure_Application,,Low,None,,,None,,,,,,,,,,,,,,,,,,3,,,,3,,,,3,,,,3,3,uuid:1f949352-87b0-4209-bcaa-413d53b4bc61,uuid:1f949352-87b0-4209-bcaa-413d53b4bc61/sclamp/Season_Information[2]
202107071854,3,Goro,Tomato,Long_rain_season_LongRain,0.01,Owned,,Head_and_spouse_jointly,Low,Farmeland,,No,,Yes,No,No,No,50.0,,,,,,,Yes,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,Mechanically_Remove_The_Insect,,None,3,,,,3,,,,3,3,uuid:1f949352-87b0-4209-bcaa-413d53b4bc61,uuid:1f949352-87b0-4209-bcaa-413d53b4bc61/sclamp/Season_Information[3]
202107071911,1,Gare,Maize,Short_rain_season_ShortRain,1.0,Owned,,Head_and_spouse_jointly,Good,Farmeland,,No,No,No,No,No,No,500.0,Yes,15.0,Yes,5.0,No,,,,Mechanically_Remove_The_Insect,,Low,Manure_Application,,Low,None,,,None,,,,,,,,,,,,,,,,,,3,,,,3,,,,3,,,,3,3,uuid:df0cfe0a-dc0e-4cd2-9448-52965b67f9b0,uuid:df0cfe0a-dc0e-4cd2-9448-52965b67f9b0/sclamp/Season_Information[1]
202107071911,2,Goro,Tomato,Long_rain_season_LongRain,0.01,Owned,,Head_and_spouse_jointly,Medium,Settlement,,No,,Yes,No,No,No,50.0,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,3,,,,3,,,,3,3,uuid:df0cfe0a-dc0e-4cd2-9448-52965b67f9b0,uuid:df0cfe0a-dc0e-4cd2-9448-52965b67f9b0/sclamp/Season_Information[2]
202107064100,1,Goro,Maize,Long_rain_season_LongRain,0.5,Owned,,Head_and_spouse_jointly,Medium,Farmeland,,Yes,Yes,No,No,No,No,400.0,Yes,30.0,Yes,5.0,No,,,,Mechanically_Remove_The_Insect,,Low,Push_pull_Technology,,Medium,None,,,None,,,,,,,,,,,,,,,,,,3,,,,3,,,,3,,,,3,3,uuid:ff66a50d-1040-407d-9121-f2b5d613dbd6,uuid:ff66a50d-1040-407d-9121-f2b5d613dbd6/sclamp/Season_Information[1]
